Longitude,Latitude,Mammal,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,Mean.Elevation,SD.Elevation
145,55,61,-36.53297443,79.3230148,17.41857335,13009.7389,177.5222073,-263.1843876,440.7065949,100.1816958,-186.2032301,122.5531629,-206.8290713,579.2341857,87.41991925,19.72005384,50.2153432,248.9515478,64.79273217,227.3122476,76.52489906,249.9809661,230.7497061
155,55,44,-26.35125448,65.81810036,20.03942652,9153.888889,134.5421147,-188.0483871,322.5905018,59.15143369,-88.21057348,89.34856631,-140.9964158,745.1397849,100.6648746,31.0546595,37.8844086,275.0887097,106.6792115,244.2768817,141.4596774,386.8125344,361.1226032
165,55,32,-33.36173633,77.94533762,22.00803859,9812.062701,146.659164,-202.6897106,349.3488746,40.88263666,-63.13022508,91.70418006,-154.2363344,676.5353698,82.45659164,32.42282958,28.87138264,226.1157556,107.6173633,196.840836,160.2684887,412.3935511,394.348364
175,55,22,33.78846154,41.30769231,26.09615385,3990.269231,120.0384615,-36.01923077,156.0576923,48.65384615,43.03846154,89.75,-11.51923077,1119.134615,136.0961538,61.73076923,26.05769231,384.5192308,197,311.4038462,253.3846154,200.6463015,189.617901
-125,45,152,78.71971067,118.8040989,41.67148885,5687.148282,243.7383966,-37.97106691,281.7094635,15.65461121,150.2296564,153.7402049,10.13743219,1261.226643,202.2718505,23.56841471,56.53164557,577.7070524,97.91862568,107.1434599,536.4327908,877.9984887,585.2479442
-115,45,142,54.62861111,147.5294444,37.54833333,8109.314722,272.3658333,-115.1144444,387.4802778,29.57277778,97.79444444,160.3733333,-47.69583333,435.5852778,56.50527778,20.02638889,31.26194444,153.1436111,70.88472222,97.84944444,121.2575,1497.026443,559.3418567
-105,45,136,59.27527778,149.4519444,33.44861111,10091.285,290.7436111,-152.4444444,443.1880556,147.7244444,-64.02,188.4863889,-72.11666667,387.4844444,67.67305556,11.86833333,55.82611111,176.1869444,40.54527778,150.6158333,41.03222222,1189.712551,606.2597675
-95,45,100,61.20861111,124.6633333,26.79361111,11507.44556,283.1438889,-174.9180556,458.0619444,192.3777778,-95.33916667,201.62,-96.18388889,683.0308333,100.7319444,17.48583333,51.48388889,280.4530556,63.56277778,275.5291667,63.60555556,392.6843069,116.3380668
-85,45,82,56.04722222,112.0394444,27.02305556,10243.94444,257.8880556,-150.1,407.9880556,156.3038889,-55.5325,181.4416667,-82.16722222,852.3166667,96.51722222,42.06722222,23.91333333,271.0372222,146.635,258.3125,157.1277778,268.9895792,90.73573744
-75,45,78,47.52473807,111.4118161,26.75873108,10361.68161,249.6167055,-162.427241,412.0439464,140.3233411,-47.63736903,174.7636787,-93.01979045,1009.934808,109.3215949,59.98253783,18.62136205,309.830326,194.3571013,297.5584983,212.9062864,321.261506,172.1209577
-65,45,64,40.18169209,99.47226075,25.7815534,9500.49792,229.0693481,-149.4708738,378.5402219,44.14355062,14.08668516,159.2108183,-86.01733703,1127.054092,117.9278779,73.55339806,14.50208044,337.090846,234.7274619,281.131068,283.4361997,207.1346572,156.8945114
-55,45,16,39.60996564,80.09278351,25.63402062,7518.814433,198.8281787,-107.0893471,305.9175258,6.85395189,50.64604811,137.4793814,-54.39003436,1268.427835,128.1666667,81.51202749,13.94158076,371.0738832,262.7920962,304.137457,327.3230241,184.76293,123.5404801
-5,45,91,116.3641756,93.07888493,38.23131673,5220.339265,252.3623962,11.6316726,240.7307236,82.86417556,172.5166074,184.9377224,51.74377224,790.5344009,98.91162515,32.92645314,29.51304864,271.1986951,122.5925267,131.5225386,243.8380783,570.241513,449.0189003
5,45,108,100.9148781,87.47871953,34.46780648,5839.768279,238.3895962,-11.70862132,250.0982175,112.828665,91.27209895,175.6500546,26.32775555,849.1004001,93.27864678,50.03819571,18.51036741,256.1214987,169.7973809,211.8246635,205.0494725,509.7037348,548.6851559
15,45,120,97.56407599,88.59827288,31.23903282,6773.464594,247.4974093,-31.58480138,279.0822107,136.5284974,67.41416235,183.0442142,9.592055268,871.4618307,108.8034542,45.34404145,27.94162349,301.6075993,149.4967185,242.051468,194.5924007,537.4024092,503.4539038
25,45,121,95.55907867,94.45527969,30.08226144,7665.5516,256.5264732,-52.88543225,309.4119055,146.054143,50.85821119,190.4394257,-5.979060724,642.3843853,88.24050254,33.04098115,32.16183069,236.0499551,108.0658092,198.3185761,140.1779838,400.6428712,379.8161224
